,row ID,educationInfoForAgeGroupEstimation,workInfoForAgeGroupEstimation,gender,realAge,ageGroup,relationship,educationLevel,occupation,income
0,277539573001771037285199535240058368693,-1,-1,0,-1.0,-1,-1,-1,-1,-1
1,312774442761368206579565867436547991011,1,-1,0,-1.0,-1,-1,1,-1,-1
2,229933373541274910590572887782921587163,2,-1,1,-1.0,1,1,1,-1,-1
3,311231979533723119389365833613127003982,-1,-1,0,-1.0,-1,-1,-1,-1,1
4,330934703129595781929633361343849261738,-1,1,0,-1.0,-1,-1,-1,1,-1
5,242941478708303769202946679343541967879,3,-1,1,1.0,2,1,-1,-1,-1
6,313658775895994712344770478050959910886,-1,-1,0,-1.0,-1,-1,-1,-1,-1
7,212365129567629187760411910639616057321,-1,-1,0,-1.0,-1,-1,-1,-1,2
8,314328687099888242431200365169786725324,-1,-1,0,-1.0,-1,-1,-1,-1,-1
9,135181616124249250167253598851848180549,-1,-1,0,-1.0,-1,-1,-1,-1,-1
10,143725826059337223743318293621516722712,4,2,1,-1.0,-1,-1,2,-1,-1
11,168109694972981651596584552696154964942,5,-1,0,-1.0,1,-1,1,-1,-1
12,86194522119917960553264371398750924855,-1,3,1,-1.0,-1,-1,-1,-1,-1
13,67512349347964088691700737383042986372,6,4,0,-1.0,-1,-1,-1,2,-1
14,170528037580431675185331119825406419418,7,-1,0,-1.0,-1,-1,1,-1,-1
15,278393304736860424984887798964467201106,-1,-1,0,-1.0,-1,-1,-1,-1,-1
16,81215791055635446429064724415562778282,8,2,1,2.0,2,-1,1,-1,-1
17,188518534639869988937061337130777713937,9,-1,1,-1.0,2,-1,3,-1,-1
18,656795240716862754473612413893416900,-1,5,1,-1.0,-1,-1,-1,-1,-1
19,200956846713037661743509816132666256665,10,-1,1,-1.0,-1,1,2,-1,-1
20,324947036066111464050436043243327765641,-1,6,1,-1.0,-1,1,-1,3,1
21,144142074233187311089850220646613087261,-1,-1,0,-1.0,-1,-1,-1,-1,-1
22,44454727436445304519504372753084177186,-1,-1,1,-1.0,-1,-1,-1,-1,-1
23,295257591581599927378651692821461151621,11,-1,1,-1.0,-1,-1,-1,-1,-1
24,146423601651789529413658369742222843730,12,-1,1,-1.0,-1,-1,-1,-1,-1
