,row ID,educationInfoForAgeGroupEstimation,workInfoForAgeGroupEstimation,gender,realAge,ageGroup,relationship,educationLevel,occupation,income
0,246069033595461346837328096276282387395,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
1,41930692864356019630264372716576158780,-1,1,0,-1.0,-1.0,-1,-1,1,-1
2,314925471855625470998997054937409267615,1,-1,1,-1.0,-1.0,-1,1,-1,-1
3,308993726926404262683713142514219094687,-1,2,1,-1.0,-1.0,-1,-1,-1,-1
4,185739097364766059104417180764931703511,2,3,1,-1.0,-1.0,1,1,2,-1
5,261520786111230114923280566538968683592,3,4,0,-1.0,-1.0,-1,2,3,-1
6,130115336443274466559660138404289095039,4,5,0,-1.0,-1.0,1,1,4,-1
7,202921464364427071615260150354660450355,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
8,254384955229646163805838071459622236646,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
9,169285582799845565590751704089060054482,5,6,1,-1.0,-1.0,2,1,5,-1
10,113534070898627882385547626046157612489,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
11,31443421862101027798279922565896922124,6,7,0,-1.0,-1.0,-1,2,2,-1
12,223192442342695671720242904283089349326,-1,8,0,-1.0,-1.0,-1,-1,-1,-1
13,81426653933517315743452982495746117113,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
14,224255068895929541963950400883871728530,7,9,1,-1.0,-1.0,-1,1,6,-1
15,210156412421874112153125562556027143972,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
16,282912547084004418738544243083450684338,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
17,105357716469443233126027838598333529531,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
18,78725525326636660870689288714925738670,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
19,309508114068196965085261267348199500699,8,10,1,-1.0,-1.0,-1,1,-1,-1
20,294939168914419888863439287967472818047,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
21,17084519774757460977805820071293387406,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
22,269385925565953652084364559309310968683,9,11,1,-1.0,-1.0,-1,-1,6,-1
23,153193370721259678702519048570331014055,10,12,0,-1.0,-1.0,-1,1,7,-1
24,314651079625412177388328363550870255095,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
25,129104145644855945945183457772357162265,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
26,3116092384995014108411349845815274917,11,-1,1,-1.0,-1.0,3,1,-1,-1
27,233830966849432765991291965479785509106,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
