,row ID,educationInfoForAgeGroupEstimation,workInfoForAgeGroupEstimation,gender,realAge,ageGroup,relationship,educationLevel,occupation,income
0,8202451843632584166817595964340773764,0,0,0,-1.0,-1.0,-1,-1,-1,-1
1,232202215740097077229505233765702875739,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
2,236844283702304599447859967505941207048,-1,-1,1,-1.0,-1.0,1,-1,-1,-1
3,35239377100353370930717841304053571609,-1,2,1,-1.0,-1.0,-1,-1,1,-1
4,25251155749033135939404602368999536424,-1,3,0,-1.0,-1.0,-1,-1,2,-1
5,204737933100757479531059930546133680058,2,4,1,-1.0,-1.0,-1,1,-1,-1
6,202127043381437718939599694514473797383,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
7,184541124691327950699039836067232530731,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
8,104812090954720306817530165065061128755,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
9,217914220319345911137660174837796438354,-1,5,1,-1.0,-1.0,-1,-1,2,-1
10,16705785318593105110431671353869446293,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
11,163819602738042872729856871362250123609,3,-1,0,-1.0,-1.0,-1,-1,-1,-1
12,81811967902306080273818676665665420260,4,6,0,-1.0,-1.0,-1,2,3,-1
13,324818703230508065129579984281411564078,5,-1,1,-1.0,-1.0,-1,2,-1,-1
14,36720209076443306788612239488989022703,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
15,160414811669158091150694921803296791420,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
16,109973303000050770659492431421464431160,-1,7,0,-1.0,-1.0,-1,-1,2,-1
17,24324546524586226432933409705910548643,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
18,153327606907278064917545568685173706630,-1,8,0,-1.0,-1.0,-1,-1,2,-1
19,337571835994609168002797426032559141640,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
20,208008478725345497211241686420845576309,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
21,153844236141939950856070766468413519521,-1,9,1,-1.0,-1.0,-1,-1,4,-1
22,315275534271136643527765787398478668530,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
23,190907613328342214906280540377998642026,6,-1,1,-1.0,-1.0,2,3,-1,-1
24,41690482102659414151789417174172762684,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
25,41801319166819435417815657537350652479,-1,-1,1,-1.0,-1.0,-1,-1,-1,-1
26,90733621105360786746700387737993543486,-1,10,1,-1.0,-1.0,3,-1,2,-1
27,332375058031981988514233163067029527308,-1,-1,0,-1.0,-1.0,-1,-1,-1,-1
28,252005543251870846711279982298479032702,7,11,1,-1.0,-1.0,-1,2,2,-1
